x1;y1;z1;x2;y2;z2;x3;y3;z3;x4;y4;z4
4;0;-99;4;0;-99;0;4;104;-4;0;99
47;47;-52;47;47;-52;47;47;147;46;47;146
57;55;-44;57;55;-44;55;57;157;52;55;154
87;82;-17;87;82;-17;82;87;187;76;82;181
164;164;64;164;164;64;164;164;264;163;164;263
168;165;65;168;165;65;165;168;268;161;165;264
593;593;493;593;593;493;593;593;693;592;593;692
600;599;499;600;599;499;599;600;700;597;599;698
830;819;719;830;819;719;819;830;929;807;819;918
873;872;772;873;872;772;872;873;973;870;872;971
877;875;775;877;875;775;875;877;977;872;875;974
963;959;859;963;959;859;959;963;1063;954;959;1058
963;960;860;963;960;860;960;963;1063;956;960;1059
1236;1137;1130;1236;1137;1130;1137;1236;1243;1037;1137;1143
444;345;344;444;345;344;345;444;445;245;345;345
942;843;840;942;843;840;843;942;945;743;843;845
1062;963;962;1062;963;962;963;1062;1063;863;963;963
182;83;79;182;83;79;83;182;186;-16;83;86
1237;1138;1137;1237;1138;1137;1138;1237;1238;1038;1138;1138
970;871;870;970;871;870;871;970;971;771;871;871
607;508;504;607;508;504;508;607;611;408;508;511
970;871;869;970;871;869;871;970;972;771;871;872
